epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1143,1.22362,5.10235,1.29383,0.30076,0.39024,0.28555,0.1553,1.36355,2.8622,1.45254,0.000331439,0.000331439,0.000331439
2,87.5644,1.44497,1.90211,1.45599,0.26728,0.27611,0.20517,0.09556,1.7359,2.8157,1.72873,0.00065161,0.00065161,0.00065161
3,129.336,1.52823,1.86392,1.50777,0.56118,0.2205,0.18905,0.09931,1.70195,3.10793,1.72634,0.000958581,0.000958581,0.000958581
4,171.004,1.55088,1.89112,1.52779,0.23401,0.36139,0.26541,0.133,1.61767,2.66127,1.66011,0.0009406,0.0009406,0.0009406
5,212.535,1.51105,1.82413,1.50666,0.19418,0.33253,0.25419,0.12671,1.60916,2.49638,1.59329,0.0009208,0.0009208,0.0009208
6,254.274,1.47708,1.65875,1.4849,0.39634,0.38699,0.34065,0.17445,1.50483,2.29654,1.55121,0.000901,0.000901,0.000901
7,295.885,1.44338,1.63922,1.47114,0.31194,0.41666,0.31332,0.16136,1.50846,2.3505,1.55635,0.0008812,0.0008812,0.0008812
8,338.009,1.40295,1.66606,1.42482,0.38,0.48568,0.38417,0.21415,1.49161,2.13174,1.53058,0.0008614,0.0008614,0.0008614
9,380.332,1.3895,1.50943,1.42716,0.31591,0.46035,0.38759,0.22732,1.42892,2.13299,1.45964,0.0008416,0.0008416,0.0008416
10,420.938,1.35663,1.46942,1.39621,0.33829,0.52292,0.38913,0.21776,1.42982,2.03844,1.47129,0.0008218,0.0008218,0.0008218
11,462.256,1.34624,1.45358,1.38552,0.45129,0.46777,0.42941,0.2344,1.49806,2.12439,1.52613,0.000802,0.000802,0.000802
12,502.857,1.33628,1.48862,1.39011,0.3712,0.48249,0.39237,0.22623,1.41465,2.00388,1.45561,0.0007822,0.0007822,0.0007822
13,544.214,1.31962,1.33873,1.36795,0.40521,0.49536,0.43809,0.26,1.38592,1.96263,1.41243,0.0007624,0.0007624,0.0007624
14,585.223,1.30594,1.29603,1.36204,0.36921,0.53919,0.44219,0.25605,1.38455,1.8749,1.4346,0.0007426,0.0007426,0.0007426
15,625.963,1.27908,1.41579,1.34614,0.44554,0.50413,0.46129,0.28124,1.35519,1.79441,1.40266,0.0007228,0.0007228,0.0007228
16,666.746,1.2668,1.29695,1.3411,0.504,0.51592,0.47756,0.27851,1.3629,1.8554,1.40387,0.000703,0.000703,0.000703
17,707.484,1.25325,1.25232,1.32988,0.49905,0.52496,0.48633,0.30283,1.32486,1.72617,1.38753,0.0006832,0.0006832,0.0006832
18,748.198,1.23248,1.26107,1.31105,0.40873,0.55352,0.43766,0.26379,1.33962,1.87112,1.38988,0.0006634,0.0006634,0.0006634
19,789.324,1.23266,1.18888,1.31032,0.49292,0.53232,0.51339,0.30784,1.3286,1.76769,1.37453,0.0006436,0.0006436,0.0006436
20,830.576,1.20776,1.25591,1.29547,0.46671,0.6267,0.51615,0.31492,1.3012,1.63646,1.36056,0.0006238,0.0006238,0.0006238
21,872.075,1.19824,1.13718,1.28924,0.50084,0.57081,0.51301,0.31918,1.30184,1.64326,1.35308,0.000604,0.000604,0.000604
22,913.352,1.19298,1.15378,1.28699,0.41704,0.63079,0.49065,0.30681,1.3095,1.65263,1.36552,0.0005842,0.0005842,0.0005842
23,954.428,1.17558,1.09978,1.27078,0.49383,0.61549,0.54873,0.34726,1.26304,1.6652,1.33131,0.0005644,0.0005644,0.0005644
24,995.849,1.15297,1.10515,1.27345,0.47942,0.63368,0.52248,0.31531,1.28959,1.61484,1.33998,0.0005446,0.0005446,0.0005446
25,1037.26,1.14711,1.06728,1.24887,0.4934,0.63087,0.54673,0.34221,1.27909,1.58186,1.34142,0.0005248,0.0005248,0.0005248
26,1078.37,1.15776,1.11954,1.26034,0.48414,0.64538,0.55485,0.33853,1.29805,1.61695,1.34334,0.000505,0.000505,0.000505
27,1119.56,1.12099,0.9741,1.24648,0.44466,0.66886,0.54063,0.33953,1.26495,1.48141,1.32329,0.0004852,0.0004852,0.0004852
28,1160.61,1.11798,1.05912,1.23832,0.52508,0.62252,0.55943,0.35604,1.23463,1.50922,1.30958,0.0004654,0.0004654,0.0004654
29,1201.45,1.09981,1.08543,1.22657,0.52161,0.66071,0.5813,0.37452,1.22341,1.48471,1.2958,0.0004456,0.0004456,0.0004456
30,1242.32,1.10125,0.96383,1.229,0.55718,0.65632,0.57545,0.37536,1.22019,1.48033,1.29531,0.0004258,0.0004258,0.0004258
31,1283.48,1.08769,0.96866,1.2117,0.57129,0.69997,0.60136,0.37892,1.23104,1.54124,1.30472,0.000406,0.000406,0.000406
32,1324.96,1.07596,0.96833,1.20692,0.57547,0.64379,0.57181,0.36937,1.22443,1.50274,1.29625,0.0003862,0.0003862,0.0003862
33,1366.16,1.07794,1.0338,1.2091,0.54726,0.64754,0.56828,0.37274,1.21653,1.50154,1.29177,0.0003664,0.0003664,0.0003664
34,1407,1.06311,0.92855,1.20025,0.51285,0.67926,0.58133,0.38134,1.21129,1.47056,1.28471,0.0003466,0.0003466,0.0003466
35,1449.88,1.04292,0.93069,1.18983,0.55248,0.70515,0.60179,0.40458,1.20549,1.42256,1.27911,0.0003268,0.0003268,0.0003268
36,1492.25,1.03966,0.91574,1.18875,0.58224,0.67818,0.59977,0.39376,1.213,1.4164,1.27673,0.000307,0.000307,0.000307
37,1534.58,1.03794,0.91795,1.18513,0.52595,0.68555,0.57908,0.38747,1.19067,1.44041,1.26542,0.0002872,0.0002872,0.0002872
38,1576.55,1.01698,0.87474,1.1703,0.54072,0.71733,0.58612,0.39809,1.17866,1.38075,1.25549,0.0002674,0.0002674,0.0002674
39,1618.94,1.01667,0.87602,1.17559,0.55098,0.6774,0.5913,0.38226,1.2115,1.43819,1.27232,0.0002476,0.0002476,0.0002476
40,1661.43,1.00157,0.86834,1.16059,0.57648,0.68911,0.60242,0.40813,1.17905,1.44409,1.26021,0.0002278,0.0002278,0.0002278
41,1721.22,0.9902,0.77818,1.1445,0.56956,0.71301,0.59685,0.40528,1.19392,1.43734,1.27756,0.000208,0.000208,0.000208
42,1762.3,0.96565,0.72382,1.13386,0.53536,0.71962,0.57851,0.39962,1.17499,1.38997,1.26249,0.0001882,0.0001882,0.0001882
43,1803.75,0.94254,0.71874,1.12034,0.54288,0.70662,0.58234,0.39655,1.17193,1.39837,1.25378,0.0001684,0.0001684,0.0001684
44,1845.41,0.92258,0.6788,1.09523,0.56301,0.70631,0.5775,0.39274,1.17111,1.35455,1.25522,0.0001486,0.0001486,0.0001486
45,1886.67,0.91296,0.68325,1.09611,0.5777,0.71419,0.59138,0.40234,1.16112,1.37127,1.25517,0.0001288,0.0001288,0.0001288
46,1928.28,0.90381,0.68447,1.0906,0.55478,0.73957,0.59424,0.40553,1.15461,1.36822,1.24372,0.000109,0.000109,0.000109
47,1969.84,0.89245,0.67235,1.08606,0.58351,0.70397,0.60118,0.41657,1.14549,1.33448,1.23734,8.92e-05,8.92e-05,8.92e-05
48,2012.05,0.88359,0.64805,1.08183,0.57008,0.72602,0.59506,0.41273,1.15105,1.36374,1.24158,6.94e-05,6.94e-05,6.94e-05
49,2053.65,0.88316,0.64404,1.07644,0.53959,0.73402,0.6001,0.42247,1.14695,1.35774,1.23617,4.96e-05,4.96e-05,4.96e-05
50,2095.09,0.86361,0.64699,1.06635,0.55796,0.7316,0.60002,0.42304,1.14173,1.36412,1.23556,2.98e-05,2.98e-05,2.98e-05
